Age;Education;Country;Ethnicity;Gender;Neuroticism;Extraversion;Openness;Agreeableness;Conscientiousness;Impulsiveness;SensationSeeing;Cocaine
25-34;university degree;UK;White;1;48;42;48;48;37;0.19268;-0.21575;Used in last decade
45-54;university degree;UK;White;1;53;33;56;43;39;0.19268;0.40148;Used over a decade ago
25-34;university degree;UK;White;0;29;41;50;44;40;0.19268;-1.54858;Used over a decade ago
45-54;university degree;USA;White;1;25;46;43;48;48;-0.71126;-0.84637;Used over a decade ago
25-34;university degree;UK;White;0;37;38;39;34;42;0.19268;-0.52593;Used in last year
35-44;university degree;UK;White;1;41;39;43;42;37;-1.37983;-0.52593;Used in last year
35-44;university degree;UK;White;1;32;44;50;41;42;0.88113;0.7654;Never used
18-24;university degree;USA;White;0;40;26;39;48;30;-1.37983;-0.84637;Used in last year
25-34;university degree;USA;White;0;41;36;51;32;45;-0.21712;0.40148;Used in last decade
25-34;university degree;USA;White;0;42;37;48;30;35;0.52975;0.7654;Used in last Month
35-44;university degree;USA;White;0;39;29;34;32;47;-0.71126;0.40148;Never used
35-44;university degree;Canada;White;0;30;35;29;41;40;-2.55524;-1.18084;Never used
25-34;university degree;USA;White;1;53;26;57;37;44;0.19268;1.92173;Never used
18-24;university degree;Australia;White;0;21;34;42;35;32;0.19268;0.7654;Used in last Month
25-34;university degree;UK;White;1;24;45;37;36;41;-0.21712;0.40148;Used in last decade
25-34;university degree;UK;other;1;36;34;44;40;37;-0.21712;-0.21575;Never used
25-34;university degree;UK;White;1;30;37;50;52;50;-0.71126;-1.18084;Never used
35-44;university degree;UK;White;1;35;46;38;49;52;-1.37983;-2.07848;Never used
45-54;university degree;UK;White;1;26;39;38;40;46;-1.37983;-0.84637;Never used
25-34;university degree;UK;White;1;32;37;36;50;48;-1.37983;-1.54858;Never used
25-34;university degree;UK;White;1;34;38;40;41;51;-0.71126;-0.21575;Never used
25-34;university degree;UK;White;1;30;41;42;48;33;-0.21712;0.07987;Never used
25-34;university degree;UK;White;1;56;24;39;50;37;-1.37983;-0.84637;Never used
18-24;university degree;UK;White;1;37;44;46;28;52;0.19268;0.40148;Never used
18-24;university degree;USA;White;0;50;29;46;29;36;0.88113;0.7654;Never used
45-54;university degree;USA;White;0;42;34;46;40;30;1.29221;0.7654;Used in last decade
25-34;university degree;USA;White;1;55;30;57;48;34;0.19268;-1.18084;Never used
25-34;college or university but no diploma;UK;White;1;46;38;33;45;39;-1.37983;-0.84637;Never used
35-44;college or university but no diploma;UK;White;0;17;52;55;38;31;1.86203;1.2247;Used over a decade ago
45-54;college or university but no diploma;UK;Black;1;31;36;42;44;44;-0.21712;-1.18084;Never used
25-34;college or university but no diploma;UK;White;1;53;40;44;49;43;-0.21712;-0.84637;Never used
18-24;college or university but no diploma;UK;White;1;31;44;44;48;48;-0.71126;-0.21575;Never used
65+;college or university but no diploma;Canada;White;0;24;37;39;44;43;1.29221;-0.21575;Never used
35-44;college or university but no diploma;UK;White;1;46;36;52;51;37;0.88113;-0.21575;Used in last decade
18-24;college or university but no diploma;USA;White;1;49;38;48;42;28;0.19268;-0.21575;Never used
18-24;college or university but no diploma;UK;White;0;41;39;48;43;35;0.52975;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;46;47;51;44;34;1.86203;1.2247;Used in last Month
45-54;college or university but no diploma;Canada;White;0;48;36;48;35;33;1.29221;0.40148;Used in last decade
35-44;college or university but no diploma;UK;White;0;45;35;54;41;44;-0.21712;0.07987;Used in last Month
35-44;college or university but no diploma;UK;White;1;47;36;51;48;39;0.19268;-0.21575;Used in last Month
18-24;college or university but no diploma;Canada;White;0;23;41;51;41;30;0.19268;0.07987;Never used
18-24;college or university but no diploma;UK;White;0;28;48;44;42;38;0.19268;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;42;41;58;48;42;0.19268;1.2247;Used in last decade
18-24;college or university but no diploma;other;White;1;21;43;52;41;28;0.19268;0.40148;Never used
18-24;college or university but no diploma;Canada;White;0;54;40;58;40;37;0.88113;0.7654;Used in last year
18-24;college or university but no diploma;Canada;White;0;25;41;46;46;54;-0.21712;-0.21575;Used in last year
18-24;college or university but no diploma;USA;White;0;47;35;46;34;35;1.29221;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;35;41;51;45;39;0.88113;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;37;44;57;51;40;-1.37983;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;45;34;47;47;41;-0.21712;0.7654;Never used
18-24;college or university but no diploma;Australia;White;0;21;51;50;46;48;1.29221;0.07987;Never used
18-24;college or university but no diploma;USA;White;0;30;39;52;40;32;1.86203;0.7654;Never used
18-24;college or university but no diploma;UK;White;1;50;27;47;38;23;-0.71126;-2.07848;Never used
35-44;college or university but no diploma;USA;White;0;51;32;48;39;36;1.86203;0.40148;Used over a decade ago
25-34;college or university but no diploma;other;White;0;46;19;47;43;41;0.19268;0.07987;Never used
18-24;college or university but no diploma;USA;other;0;37;46;53;47;46;-0.71126;0.7654;Used in last Month
25-34;college or university but no diploma;USA;White;0;46;29;48;18;30;1.29221;1.92173;Used in last decade
18-24;college or university but no diploma;USA;White;1;55;19;32;43;31;0.52975;-0.84637;Used in last Month
18-24;college or university but no diploma;USA;White;0;43;30;41;34;36;-0.21712;0.7654;Never used
25-34;college or university but no diploma;USA;White;0;30;49;56;53;46;0.19268;1.2247;Never used
18-24;college or university but no diploma;UK;other;1;33;46;51;45;40;0.52975;0.07987;Used in last Month
18-24;college or university but no diploma;USA;White;1;56;35;48;44;36;0.52975;0.7654;Used in last decade
18-24;college or university but no diploma;USA;White;1;32;32;42;52;35;-0.71126;-1.54858;Never used
18-24;college or university but no diploma;USA;White;1;30;42;50;50;44;-0.71126;-0.52593;Never used
18-24;college or university but no diploma;other;White;0;40;39;47;38;45;-0.21712;0.07987;Used in last week
25-34;college or university but no diploma;USA;White;0;52;44;49;34;25;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;USA;White;0;46;29;49;43;35;-0.71126;0.07987;Used in last week
18-24;college or university but no diploma;USA;White;0;29;43;45;44;51;-0.71126;-1.18084;Used in last year
45-54;college or university but no diploma;other;White;1;32;41;47;46;47;-1.37983;-1.18084;Never used
18-24;college or university but no diploma;USA;White;0;35;41;56;49;42;0.19268;0.40148;Never used
25-34;college or university but no diploma;USA;White;0;19;43;50;47;47;-1.37983;-0.84637;Never used
25-34;college or university but no diploma;USA;White;1;38;39;51;47;51;-1.37983;-1.18084;Used in last decade
18-24;college or university but no diploma;USA;White;0;13;43;54;50;33;0.88113;0.7654;Never used
18-24;college or university but no diploma;USA;White;1;36;37;46;37;37;-1.37983;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;46;37;46;31;34;0.88113;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;49;33;51;45;36;0.52975;1.2247;Used in last decade
25-34;college or university but no diploma;USA;White;0;48;37;50;50;45;0.19268;0.40148;Used in last decade
18-24;college or university but no diploma;UK;White;0;42;52;57;46;39;1.29221;0.7654;Used in last year
18-24;college or university but no diploma;USA;White;1;40;41;55;47;46;-1.37983;0.07987;Never used
18-24;college or university but no diploma;USA;other;0;36;34;52;41;49;-0.21712;0.7654;Used in last day
18-24;college or university but no diploma;Canada;White;0;25;49;49;39;42;1.29221;0.40148;Used in last day
18-24;college or university but no diploma;USA;White;0;41;38;42;38;38;-0.21712;0.7654;Used in last year
18-24;college or university but no diploma;Canada;White;1;45;41;50;42;26;-1.37983;0.40148;Used in last year
18-24;college or university but no diploma;other;White;1;24;41;51;35;30;-0.71126;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;36;32;46;45;46;-1.37983;-1.54858;Used in last year
25-34;college or university but no diploma;UK;White;1;50;36;53;50;36;1.86203;0.07987;Never used
35-44;college or university but no diploma;other;White;1;52;33;33;48;34;0.19268;-2.07848;Never used
18-24;college or university but no diploma;USA;White;0;24;51;48;50;45;-0.21712;-0.21575;Never used
18-24;college or university but no diploma;UK;other;1;23;40;47;44;40;-0.71126;0.07987;Used in last year
18-24;college or university but no diploma;USA;White;1;44;25;49;35;27;1.86203;1.2247;Used in last Month
18-24;college or university but no diploma;USA;White;1;35;46;46;36;39;-0.21712;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;36;36;54;48;33;-0.71126;0.7654;Never used
18-24;college or university but no diploma;USA;other;0;32;40;50;42;38;0.19268;1.2247;Used in last year
25-34;college or university but no diploma;USA;White;0;32;44;57;39;44;0.19268;0.7654;Never used
18-24;college or university but no diploma;USA;other;1;31;45;58;48;40;-1.37983;-0.84637;Used in last year
18-24;college or university but no diploma;USA;White;1;40;36;53;46;34;0.19268;-0.52593;Used in last Month
18-24;college or university but no diploma;USA;White;0;24;38;47;51;49;0.19268;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;23;37;52;40;31;0.88113;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;31;28;49;36;43;-0.21712;-0.21575;Used in last decade
18-24;college or university but no diploma;USA;White;0;48;41;50;41;32;-1.37983;-0.21575;Used in last year
25-34;college or university but no diploma;USA;White;0;44;37;50;38;38;0.88113;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;27;51;50;34;49;0.52975;1.2247;Used in last year
45-54;college or university but no diploma;Canada;other;0;46;35;40;35;47;1.86203;1.2247;Used in last decade
45-54;college or university but no diploma;USA;White;0;34;38;50;44;40;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;UK;White;0;28;33;46;39;39;-0.71126;0.07987;Never used
18-24;college or university but no diploma;USA;White;1;42;41;50;29;42;1.86203;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;44;53;57;44;37;1.86203;1.92173;Used in last year
18-24;college or university but no diploma;USA;other;1;36;51;42;40;55;0.88113;1.92173;Never used
18-24;college or university but no diploma;UK;White;0;34;37;41;38;29;1.29221;0.7654;Used in last decade
18-24;college or university but no diploma;USA;White;0;44;45;52;47;36;0.19268;0.07987;Never used
35-44;college or university but no diploma;UK;White;1;33;41;33;40;45;-1.37983;-0.52593;Never used
25-34;college or university but no diploma;UK;White;0;15;54;48;33;46;0.88113;1.2247;Used in last year
55-64;college or university but no diploma;USA;White;0;21;31;40;33;39;-0.71126;0.7654;Used over a decade ago
25-34;college or university but no diploma;UK;White;1;26;40;44;46;36;0.19268;0.40148;Used in last year
18-24;college or university but no diploma;UK;White;0;36;46;56;39;43;1.86203;1.2247;Never used
18-24;college or university but no diploma;USA;Black;0;37;28;46;46;30;-0.21712;-0.21575;Used in last year
18-24;college or university but no diploma;USA;Black;1;49;25;52;43;33;-0.21712;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;49;33;58;31;27;1.86203;0.40148;Used in last decade
55-64;college or university but no diploma;UK;White;0;42;27;38;38;28;0.52975;0.07987;Never used
18-24;college or university but no diploma;other;White;0;18;46;46;44;52;-2.55524;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;26;41;49;27;30;0.88113;1.92173;Never used
18-24;college or university but no diploma;USA;White;0;41;32;46;28;31;-0.71126;0.7654;Never used
25-34;college or university but no diploma;USA;White;1;41;52;55;41;48;-0.71126;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;27;43;49;46;45;-0.71126;-0.52593;Never used
18-24;college or university but no diploma;USA;White;0;31;39;50;54;38;-0.71126;-0.84637;Never used
18-24;college or university but no diploma;USA;other;1;35;31;48;50;44;0.88113;0.7654;Used in last decade
18-24;college or university but no diploma;USA;White;1;48;31;53;41;24;0.88113;-0.21575;Never used
18-24;college or university but no diploma;other;White;0;28;42;48;41;40;0.88113;0.7654;Never used
18-24;college or university but no diploma;Republic of Ireland;White;0;31;53;56;50;45;0.88113;1.2247;Used in last year
35-44;doctorat degree;UK;White;1;43;28;43;41;50;-0.21712;-0.21575;Never used
35-44;doctorat degree;Canada;White;0;25;37;46;39;48;-0.21712;1.2247;Used over a decade ago
35-44;doctorat degree;UK;White;0;36;40;52;25;40;-0.71126;0.07987;Used in last decade
25-34;doctorat degree;UK;White;1;42;43;43;43;50;0.52975;0.07987;Never used
25-34;doctorat degree;UK;White;0;27;43;55;50;38;0.19268;0.07987;Used in last decade
45-54;doctorat degree;Australia;White;0;42;41;52;57;44;-0.71126;0.40148;Used in last decade
25-34;doctorat degree;USA;Asian;1;42;41;51;39;40;-0.71126;-0.84637;Used in last decade
25-34;doctorat degree;UK;White;1;34;38;43;56;52;-1.37983;0.07987;Never used
35-44;doctorat degree;other;White;0;52;39;52;36;39;-0.21712;-0.21575;Never used
25-34;doctorat degree;UK;White;1;41;32;43;54;45;-1.37983;0.40148;Never used
35-44;doctorat degree;UK;other;1;17;51;46;47;56;0.88113;-0.21575;Used over a decade ago
35-44;doctorat degree;USA;White;1;33;39;51;44;55;-1.37983;-1.54858;Used in last year
45-54;left <16;Australia;White;1;27;44;39;49;44;-1.37983;-2.07848;Used over a decade ago
45-54;left at 16;UK;White;0;26;35;38;51;45;-0.71126;-1.18084;Never used
45-54;left at 16;Australia;White;1;30;43;34;42;48;-1.37983;-0.84637;Never used
45-54;left at 16;UK;other;1;22;39;37;57;46;-1.37983;-2.07848;Never used
55-64;left at 16;UK;White;1;28;34;32;50;46;-1.37983;-1.54858;Never used
45-54;left at 16;UK;White;1;40;30;31;47;40;-1.37983;-2.07848;Never used
45-54;left at 16;UK;other;1;39;38;37;42;46;0.88113;0.40148;Never used
65+;left at 16;Canada;White;1;34;39;36;34;42;-0.21712;0.7654;Never used
35-44;left at 16;other;White;0;32;36;38;37;36;1.29221;-0.52593;Used over a decade ago
35-44;left at 16;UK;White;1;30;46;42;48;40;-1.37983;-1.18084;Used over a decade ago
25-34;left at 16;other;White;0;35;36;52;46;36;-0.21712;0.07987;Used over a decade ago
25-34;left at 16;USA;White;0;40;39;45;42;38;0.19268;0.7654;Used in last decade
45-54;left at 16;UK;White;1;31;44;38;50;43;0.19268;-0.52593;Used in last year
45-54;left at 16;USA;White;0;34;31;45;49;44;-0.21712;0.7654;Used over a decade ago
18-24;left at 16;UK;White;1;59;21;53;38;25;-0.21712;-0.84637;Used in last decade
18-24;left at 16;UK;White;1;21;42;33;54;47;-0.21712;-1.18084;Never used
25-34;left at 16;UK;White;1;20;46;39;56;55;-1.37983;-0.84637;Never used
45-54;left at 17;Canada;White;1;32;35;35;46;46;-2.55524;-2.07848;Never used
25-34;left at 17;Canada;White;0;49;34;43;30;29;0.19268;-0.52593;Used in last week
25-34;left at 17;Australia;White;0;32;42;46;44;45;0.19268;0.07987;Used in last Month
18-24;left at 17;USA;White;1;48;47;53;33;43;0.88113;1.92173;Used in last week
25-34;left at 18;UK;White;0;22;38;43;45;42;-0.71126;-0.84637;Never used
35-44;left at 18;Republic of Ireland;White;1;33;36;42;42;44;-1.37983;-1.54858;Never used
18-24;left at 18;UK;White;1;41;39;41;39;44;-0.21712;-0.21575;Never used
45-54;left at 18;UK;White;0;19;43;38;53;46;-0.71126;-0.52593;Never used
25-34;left at 18;UK;White;1;34;39;32;47;47;-0.71126;-0.84637;Never used
18-24;left at 18;UK;White;0;39;45;46;37;49;0.52975;0.7654;Never used
35-44;left at 18;USA;White;1;53;27;54;36;44;0.19268;-0.52593;Used over a decade ago
18-24;left at 18;other;White;1;48;41;55;51;46;-0.71126;0.40148;Never used
18-24;left at 18;other;White;0;25;37;50;45;42;-0.71126;-0.21575;Never used
18-24;left at 18;USA;White;0;35;46;46;46;37;0.88113;1.2247;Used in last year
18-24;left at 18;USA;White;0;29;38;38;38;30;0.88113;-0.21575;Used in last year
18-24;left at 18;USA;other;1;39;32;49;47;37;0.88113;0.07987;Never used
35-44;left at 18;USA;White;1;39;31;38;31;31;0.19268;0.40148;Used in last decade
18-24;left at 18;other;White;0;41;34;45;42;27;0.52975;1.2247;Never used
18-24;left at 18;USA;White;1;47;33;44;45;39;-0.21712;-0.52593;Used in last decade
18-24;left at 18;UK;White;1;36;30;37;43;42;-1.37983;-2.07848;Never used
35-44;left at 18;UK;White;1;28;34;51;37;44;-0.71126;-0.21575;Never used
18-24;left at 18;USA;Mixed White/Black;0;32;48;53;43;38;0.52975;1.2247;Never used
25-34;left at 18;other;White;1;49;39;49;34;32;0.88113;1.92173;Used in last decade
18-24;left at 18;USA;White;0;33;42;49;42;41;0.88113;1.2247;Never used
18-24;master degree;UK;White;1;34;34;46;47;46;-1.37983;-1.18084;Used in last decade
35-44;master degree;UK;Black;0;30;43;41;44;48;-0.21712;-0.52593;Never used
25-34;master degree;other;White;1;39;47;40;36;47;-0.21712;-0.52593;Never used
35-44;master degree;UK;White;1;42;31;46;53;56;-1.37983;-0.84637;Never used
35-44;master degree;UK;Black;1;27;41;40;38;43;-1.37983;-2.07848;Never used
35-44;master degree;UK;White;1;40;37;47;46;52;-1.37983;-0.21575;Used over a decade ago
25-34;master degree;UK;White;1;19;44;41;53;49;-1.37983;-1.18084;Never used
25-34;master degree;UK;White;0;45;48;57;26;39;0.52975;0.07987;Used in last decade
25-34;master degree;UK;White;0;32;39;41;32;37;0.52975;0.07987;Never used
25-34;master degree;other;White;1;25;47;47;39;41;-0.21712;-0.84637;Never used
35-44;master degree;UK;White;1;28;48;47;36;49;-0.21712;1.2247;Used in last year
25-34;master degree;UK;other;1;44;42;47;47;48;-0.71126;-0.52593;Never used
25-34;master degree;UK;White;1;41;42;51;44;49;-0.21712;-0.52593;Used in last decade
25-34;master degree;UK;White;1;35;43;49;45;45;-0.71126;-0.21575;Used in last decade
18-24;master degree;USA;White;0;49;34;52;43;44;-0.21712;0.7654;Never used
55-64;master degree;USA;White;0;21;40;54;51;45;0.19268;0.07987;Used over a decade ago
25-34;master degree;USA;White;1;55;43;57;24;32;1.86203;1.92173;Used in last Month
25-34;master degree;UK;White;1;29;46;48;50;54;0.19268;-0.84637;Never used
25-34;master degree;UK;White;1;36;44;38;39;53;-0.21712;0.07987;Never used
25-34;master degree;UK;White;0;14;48;42;48;38;0.52975;0.07987;Used over a decade ago
25-34;master degree;UK;White;1;34;34;37;51;43;-1.37983;-0.52593;Never used
25-34;master degree;UK;Asian;1;43;41;41;37;49;-1.37983;-0.84637;Never used
45-54;master degree;UK;White;1;40;37;55;51;47;-0.21712;-0.52593;Never used
35-44;master degree;UK;White;1;33;39;37;46;51;-0.21712;-0.84637;Never used
25-34;master degree;UK;White;0;37;44;47;37;52;-0.71126;-1.54858;Never used
25-34;master degree;UK;White;1;20;48;37;42;51;-1.37983;-2.07848;Used over a decade ago
25-34;master degree;UK;White;1;21;43;36;41;49;-1.37983;-0.84637;Never used
25-34;master degree;UK;White;1;29;43;45;48;51;-0.21712;-0.52593;Never used
18-24;master degree;USA;other;0;28;43;55;50;43;1.29221;0.40148;Never used
18-24;master degree;UK;Black;1;40;34;42;44;39;-1.37983;-1.54858;Never used
35-44;profesionnel diploma;Canada;White;1;42;55;39;48;49;-1.37983;-1.54858;Never used
35-44;profesionnel diploma;UK;White;0;32;27;29;30;47;-1.37983;-2.07848;Never used
45-54;profesionnel diploma;Canada;White;1;36;44;44;41;43;0.19268;0.7654;Never used
45-54;profesionnel diploma;UK;White;1;36;44;48;44;47;0.19268;-0.21575;Never used
35-44;profesionnel diploma;Canada;White;0;42;36;47;31;39;0.52975;-0.21575;Never used
35-44;profesionnel diploma;UK;White;1;35;32;28;37;44;-1.37983;-1.54858;Never used
45-54;profesionnel diploma;UK;White;1;31;54;51;54;50;0.52975;0.07987;Used in last year
25-34;profesionnel diploma;UK;White;0;49;35;41;37;40;-1.37983;-0.84637;Never used
45-54;profesionnel diploma;UK;White;0;32;43;39;46;41;0.52975;-0.21575;Never used
35-44;profesionnel diploma;UK;White;0;28;39;46;54;37;-0.21712;-1.18084;Used over a decade ago
18-24;profesionnel diploma;other;other;0;25;37;49;47;43;-1.37983;-0.21575;Never used
18-24;profesionnel diploma;UK;White;0;45;30;44;30;31;0.88113;0.07987;Used in last Month
55-64;profesionnel diploma;Canada;White;1;48;34;36;50;30;1.86203;-0.21575;Used in last year
35-44;profesionnel diploma;Canada;White;1;32;41;39;48;45;-1.37983;-1.18084;Never used
35-44;profesionnel diploma;UK;White;1;45;35;54;35;30;1.29221;1.92173;Never used
35-44;profesionnel diploma;UK;White;1;51;35;48;48;43;-0.71126;-0.84637;Used in last decade
18-24;profesionnel diploma;USA;other;1;32;44;47;41;47;1.29221;-0.52593;Used in last year
18-24;profesionnel diploma;USA;White;1;46;24;45;46;42;-1.37983;-0.84637;Used in last year
18-24;profesionnel diploma;UK;White;1;20;38;47;44;37;-0.71126;0.07987;Used in last year
25-34;profesionnel diploma;USA;other;0;31;54;59;51;50;-0.21712;0.40148;Used in last Month
18-24;profesionnel diploma;USA;White;0;53;36;46;33;20;1.86203;1.2247;Used in last Month
35-44;profesionnel diploma;Canada;White;1;40;40;39;44;41;-1.37983;-1.18084;Never used
45-54;profesionnel diploma;UK;White;0;22;46;44;40;44;-0.21712;-1.54858;Never used
35-44;profesionnel diploma;UK;White;1;41;30;36;44;33;-1.37983;-1.18084;Never used
25-34;profesionnel diploma;USA;White;0;49;30;43;42;24;-0.21712;-0.21575;Used in last year
25-34;profesionnel diploma;USA;White;1;56;45;51;29;28;1.86203;1.92173;Used in last Month
35-44;profesionnel diploma;USA;White;0;40;31;47;42;46;0.52975;0.07987;Used in last year
18-24;profesionnel diploma;USA;White;1;46;46;48;32;35;0.88113;0.40148;Used in last year
35-44;profesionnel diploma;USA;White;1;25;38;51;49;49;-1.37983;0.07987;Used in last decade
18-24;profesionnel diploma;Australia;White;0;42;26;48;44;38;-0.71126;1.2247;Never used
18-24;profesionnel diploma;Canada;White;0;27;42;55;41;39;1.29221;1.92173;Used in last decade
18-24;profesionnel diploma;Canada;White;1;53;30;33;37;55;-1.37983;-1.18084;Used in last Month
18-24;profesionnel diploma;Canada;White;0;40;41;44;37;45;0.88113;0.40148;Never used
25-34;profesionnel diploma;USA;White;1;57;41;47;35;30;1.86203;1.92173;Used in last year
35-44;profesionnel diploma;UK;White;0;43;29;40;42;33;0.88113;0.07987;Used over a decade ago
45-54;profesionnel diploma;UK;White;1;57;20;44;37;36;-0.71126;-1.54858;Never used
35-44;profesionnel diploma;UK;White;0;19;49;46;45;48;0.52975;0.07987;Never used
25-34;profesionnel diploma;UK;White;1;25;47;36;45;42;-0.71126;-0.84637;Never used
45-54;profesionnel diploma;UK;White;1;36;44;34;36;42;-0.71126;-1.18084;Never used
18-24;profesionnel diploma;UK;White;0;34;45;59;46;42;1.29221;1.2247;Used in last decade
25-34;profesionnel diploma;UK;White;0;40;34;40;35;50;0.19268;-1.18084;Used in last decade
25-34;profesionnel diploma;UK;White;1;38;40;43;45;42;-0.71126;-1.18084;Never used
18-24;profesionnel diploma;USA;other;0;40;39;55;51;37;0.52975;0.07987;Never used
35-44;profesionnel diploma;USA;White;1;36;34;40;42;33;0.52975;-1.18084;Used in last decade
25-34;profesionnel diploma;Australia;White;1;22;46;57;52;44;1.29221;1.92173;Used in last decade
35-44;profesionnel diploma;other;White;0;25;47;50;43;43;-0.71126;0.40148;Never used
45-54;university degree;UK;White;0;40;33;40;50;35;-0.71126;0.07987;Never used
35-44;university degree;USA;other;0;46;44;52;23;36;0.52975;1.92173;Used in last decade
35-44;university degree;UK;White;1;44;40;53;54;39;-0.21712;-0.21575;Never used
35-44;university degree;Canada;White;1;37;32;48;42;47;-1.37983;-1.54858;Used over a decade ago
45-54;university degree;UK;White;1;25;50;48;48;45;-2.55524;-1.18084;Never used
45-54;university degree;UK;White;1;31;41;38;56;47;1.29221;0.40148;Never used
45-54;university degree;UK;White;1;28;52;41;55;52;-0.21712;-1.18084;Never used
18-24;university degree;UK;Black;0;30;42;42;51;35;0.19268;-1.18084;Never used
35-44;university degree;UK;White;1;37;40;45;41;42;0.52975;1.2247;Used in last Month
25-34;university degree;UK;White;1;40;46;46;37;52;0.19268;0.40148;Never used
35-44;university degree;UK;White;1;42;33;41;42;47;-1.37983;-1.54858;Never used
45-54;university degree;UK;White;1;26;22;37;53;43;-0.71126;-1.54858;Used over a decade ago
25-34;university degree;UK;White;1;36;43;38;47;53;-0.71126;-0.52593;Never used
18-24;university degree;UK;White;1;37;45;48;42;47;-0.71126;-0.84637;Never used
35-44;university degree;UK;White;0;31;44;52;38;46;0.19268;0.07987;Used over a decade ago
18-24;university degree;UK;White;1;33;41;41;53;49;0.19268;-1.18084;Never used
45-54;university degree;other;Black;1;38;45;46;48;45;0.19268;0.07987;Never used
18-24;university degree;UK;White;0;48;37;47;44;28;0.52975;-1.18084;Never used
25-34;university degree;UK;White;1;21;46;45;52;50;-0.71126;-0.21575;Never used
25-34;university degree;UK;White;1;46;45;41;51;41;-0.71126;-0.21575;Never used
45-54;university degree;UK;White;1;29;42;43;46;42;0.19268;-0.21575;Never used
25-34;university degree;UK;White;1;34;39;39;44;45;-0.71126;-0.52593;Never used
45-54;university degree;Canada;other;1;21;38;53;53;42;-0.71126;0.07987;Never used
18-24;university degree;UK;White;1;34;33;36;40;44;0.52975;-0.84637;Never used
25-34;university degree;UK;White;1;38;53;59;53;37;1.29221;1.2247;Used in last Month
18-24;university degree;Australia;White;0;21;41;46;41;30;0.19268;0.07987;Never used
18-24;university degree;UK;White;0;40;37;47;41;42;0.88113;0.40148;Never used
35-44;university degree;Australia;White;0;24;42;41;34;45;0.52975;1.2247;Used in last year
25-34;university degree;Australia;White;1;43;35;54;49;45;0.52975;0.7654;Used over a decade ago
25-34;university degree;Australia;White;1;51;28;51;36;30;0.52975;1.2247;Never used
45-54;university degree;UK;White;0;31;50;55;52;50;-0.21712;-0.21575;Never used
18-24;university degree;USA;White;0;36;45;52;40;50;0.19268;-0.52593;Never used
45-54;university degree;UK;White;1;27;26;36;52;48;-1.37983;-0.52593;Never used
45-54;university degree;UK;White;1;24;51;46;44;54;-1.37983;-0.84637;Never used
45-54;university degree;USA;White;0;48;31;49;37;42;-0.71126;0.07987;Used over a decade ago
18-24;university degree;USA;White;0;34;42;50;49;42;1.29221;0.7654;Used in last year
18-24;university degree;USA;White;0;28;51;56;46;40;0.19268;0.40148;Used in last year
18-24;university degree;UK;White;1;39;41;35;46;49;-1.37983;-1.18084;Never used
25-34;university degree;UK;White;1;24;36;45;46;49;-0.71126;-0.52593;Never used
55-64;university degree;USA;White;1;20;45;52;53;48;-0.21712;0.07987;Used over a decade ago
45-54;university degree;USA;White;1;51;22;47;43;26;0.88113;-2.07848;Used over a decade ago
55-64;university degree;UK;White;1;20;50;49;48;52;0.19268;-0.52593;Never used
25-34;university degree;UK;White;1;35;56;57;49;35;1.86203;1.2247;Never used
25-34;university degree;UK;White;1;34;32;34;49;47;-0.71126;-2.07848;Never used
18-24;university degree;UK;White;1;52;31;41;39;43;-1.37983;0.40148;Never used
35-44;university degree;Australia;White;1;25;36;41;46;48;0.88113;0.7654;Never used
45-54;university degree;UK;White;1;42;36;51;42;45;0.52975;-0.84637;Never used
18-24;university degree;UK;White;0;27;42;36;39;53;-0.21712;0.07987;Never used
18-24;university degree;other;White;1;28;32;57;45;57;-0.21712;1.2247;Never used
18-24;university degree;USA;White;0;41;33;47;48;37;-0.21712;1.2247;Never used
25-34;university degree;other;Asian;0;29;44;47;42;38;1.29221;1.2247;Used over a decade ago
18-24;university degree;USA;White;1;38;38;52;51;42;0.88113;0.07987;Used in last decade
25-34;university degree;USA;White;1;26;29;47;45;44;-0.21712;0.7654;Used in last decade
25-34;university degree;USA;other;0;47;39;54;29;48;0.52975;-0.52593;Never used
18-24;university degree;Canada;White;0;35;27;52;38;55;-0.71126;-0.21575;Never used
25-34;university degree;USA;White;1;47;30;37;31;31;0.52975;-0.52593;Used in last Month
45-54;college or university but no diploma;other;White;0;24;40;47;30;38;0.52975;1.2247;Used in last decade
